"mal_id","title_english","type","source","airing","year","rating","score","members","favorites","producers","licensors","studios","genres"
55929,"S-Class (SKZOO ver.)","Music","Original",FALSE,2023,"G - All Ages",6.22,232,0,"","","",""
56795,"I Am Nezha 2","Movie","Unknown",FALSE,2023,"PG-13 - Teens 13 or older",NA,230,0,"","","","Fantasy"
56889,"Hekiten Bansou","Music","Original",FALSE,2023,"G - All Ages",6.17,229,0,"","","",""
56371,"Koko","ONA","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,225,0,"","","","Drama, Fantasy"
57117,"Dinoster","TV","Original",FALSE,2023,"G - All Ages",NA,222,0,"Alpha Group","","","Action, Comedy, Sci-Fi"
56712,"Ghost Dive","Music","Game",FALSE,2023,"G - All Ages",6.31,220,0,"","","Maxilla",""
55933,"Youtiful","Music","Original",FALSE,2023,"G - All Ages",6.23,218,1,"","","MAINCONCEPT",""
55937,"Toy","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.3,218,1,"Kamitsubaki Studio","","",""
56589,"Ghost of the Dark Path","Movie","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,217,0,"","","","Drama"
56392,"HiFi Romance","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,212,1,"","","Flat Studio","Action"
56486,"Xue Wang Jiadao","ONA","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,209,0,"","","Nice Boat Animation","Adventure, Fantasy"
56206,"Geats Extra: Geats Anime - Another Grand Prix","ONA","Other",FALSE,2023,"G - All Ages",NA,204,0,"","","","Comedy"
56293,"Sinbi Apartment: Joseontoemasillog","ONA","Original",FALSE,2023,"G - All Ages",NA,202,0,"CJ ENM","","Studio BAZOOKA","Mystery, Supernatural"
56713,"Telescope","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,193,0,"","","","Slice of Life"
56372,"Warrior King","Movie","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,191,0,"","","","Action, Drama, Fantasy"
56481,"Dino Powers 2","TV","Original",FALSE,2023,"PG - Children",NA,187,0,"","","","Action"
56559,"Longzhu Xun Youji","Movie","Original",FALSE,2023,"PG - Children",NA,183,0,"","","","Action, Adventure, Fantasy"
56826,"Andersen","Music","Original",FALSE,2023,"G - All Ages",NA,176,0,"LDH Digital","","","Romance"
56032,"Aesthetic Sense","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,174,0,"","","","Romance"
56909,"Porong Porong Pororo 8","TV","Original",FALSE,2023,"G - All Ages",NA,171,1,"","","",""
56572,"Supertrons","TV","Other",FALSE,2023,"PG - Children",NA,168,0,"","","","Action, Sci-Fi"
56629,"Dead or Arrive 2: Dance of Auto","ONA","Other",FALSE,2023,"PG-13 - Teens 13 or older",NA,167,0,"","","STUDIOK110","Action, Sci-Fi"
56240,"Chessboard","Music","Original",FALSE,2023,"G - All Ages",NA,166,0,"NHK","","",""
56714,"Thank You and Goodbye.","Music","Original",FALSE,2023,"G - All Ages",NA,159,0,"","","",""
56451,"Nareai Serve","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,157,0,"","","","Avant Garde, Sports"
56576,"Ruguo Lishi Shi Yiqun Miao 10th Season","ONA","Web manga",FALSE,2023,"G - All Ages",NA,155,0,"","","","Comedy"
56672,"Top Tier","Music","Web manga",FALSE,2023,"PG-13 - Teens 13 or older",NA,154,0,"","","",""
56574,"Space Donguibogam 2","TV","Original",FALSE,2023,"PG - Children",NA,153,0,"","","","Adventure"
56628,"The 6th Summer","Music","Original",FALSE,2023,"G - All Ages",NA,153,0,"","","",""
56163,"Hisyo","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,151,0,"THINKR, Kamitsubaki Studio","","Stereotype",""
56560,"Shenqi Tushu Guan","ONA","Original",FALSE,2023,"G - All Ages",NA,150,0,"","","","Adventure, Fantasy, Sci-Fi"
56315,"Journey to the Moon","Movie","Original",FALSE,2023,"G - All Ages",NA,148,0,"","","","Sci-Fi"
56942,"Time Slip Shima Kousaku","ONA","Other",FALSE,2023,"G - All Ages",NA,146,0,"","","DLE","Comedy"
56718,"Lapis no Oningyou","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,144,0,"","","","Supernatural"
56262,"Super Wings: Maximum Speed","Movie","Original",FALSE,2023,"PG - Children",NA,143,0,"","","","Adventure"
56668,"Chuudokusei no Chew","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,143,0,"","","",""
56319,"The First Superhero: Monkey King","Movie","Unknown",FALSE,2023,"G - All Ages",NA,142,0,"","","","Action, Fantasy"
57439,"Phoenix in Fire","Movie","Book",FALSE,2023,"PG-13 - Teens 13 or older",NA,141,0,"","","","Drama, Romance"
59167,"Dame da yo","Movie","Manga",FALSE,2023,"G - All Ages",NA,140,0,"","","","Avant Garde, Comedy, Supernatural"
57808,"My Voice","Music","Original",FALSE,2023,"G - All Ages",NA,138,0,"Kamitsubaki Studio","","THINKR, Khaki",""
56798,"Backkom Bear: Mars Mission","Movie","Unknown",FALSE,2023,"G - All Ages",NA,137,0,"","","","Action, Comedy, Sci-Fi"
56373,"Wangpai Erha","Movie","Original",FALSE,2023,"G - All Ages",NA,136,0,"","","","Comedy, Mystery"
57689,"Naniiro","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,135,0,"","","",""
57078,"Gei wo Lai ge Xiao Huli","ONA","Manga",FALSE,2023,"PG - Children",NA,127,0,"","","","Fantasy, Slice of Life"
57254,"Stars Fall (I Do)","Music","Original",FALSE,2023,"G - All Ages",NA,127,0,"","","","Romance"
56144,"Jijia Yingxiong Movie: Wo Yu Wo Dengyu Wuxian Da","Movie","Game",FALSE,2023,"PG - Children",NA,126,0,"Stay Luck","","Asahi Production","Action"
56799,"The Little Mermaid and the Sea Monster","Movie","Unknown",FALSE,2023,"G - All Ages",NA,126,0,"","","","Adventure, Fantasy"
56320,"Meng Shu Da Maoxian","Movie","Novel",FALSE,2023,"G - All Ages",NA,125,0,"","","","Adventure"
56692,"Yume to Shiriseba","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,125,0,"","","",""
56620,"Orange March","Music","Original",FALSE,2023,"G - All Ages",NA,123,0,"NHK","","",""
58874,"Aaaaaaaaaaa","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,123,0,"","","","Avant Garde"
56261,"Running Man: Revengers","Movie","Original",FALSE,2023,"G - All Ages",NA,122,0,"","","Locus Corporation","Action, Adventure"
57251,"Different Hearts","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,121,0,"","","","Avant Garde"
56334,"Oh My School!","Movie","Original",FALSE,2023,"G - All Ages",NA,119,0,"","","","Comedy"
56336,"Martin Morning The Movie","Movie","Original",FALSE,2023,"PG - Children",NA,119,0,"","","","Adventure, Fantasy"
56318,"Qian Ting Zong Dong Yuan: Huan You Diqiu 80 Tian","Movie","Original",FALSE,2023,"PG - Children",NA,118,0,"","","","Adventure"
57105,"Nature Man","Music","Web manga",FALSE,2023,"G - All Ages",NA,117,0,"","","","Action"
56120,"Pure Blood","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,116,0,"","","",""
57245,"Attention to me-s","Music","Original",FALSE,2023,"G - All Ages",NA,116,0,"","","",""
56333,"Happy Mom and Girl 1: Sweetheart On Mission","Movie","Original",FALSE,2023,"G - All Ages",NA,115,0,"","","","Adventure, Comedy"
56722,"Kappa wa Shitteiru","Music","Original",FALSE,2023,"G - All Ages",NA,114,0,"NHK","","",""
56322,"Huanle Conglin: Wai Xīng Renda Maoxian","Movie","Original",FALSE,2023,"PG - Children",NA,113,0,"","","","Adventure, Comedy, Fantasy"
57304,"Why is the Weather Bad Today","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,108,1,"","","",""
56797,"Kung Fu Wang: Meng Hu Shangshan","Movie","Unknown",FALSE,2023,"PG - Children",NA,106,0,"","","","Action, Fantasy"
58632,"AOTU Xueyuan 3rd Season","ONA","Web manga",FALSE,2023,"PG-13 - Teens 13 or older",NA,105,0,"","","7doc","Comedy, Fantasy"
57904,"New World","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,103,0,"","","Uguisu Kobo",""
56568,"Karappo Katatsumuri","Music","Original",FALSE,2023,"G - All Ages",NA,101,0,"NHK","","",""
57284,"Red Flavor (Mar Vista Remix)","Music","Original",FALSE,2023,"G - All Ages",NA,96,0,"","","",""
59418,"Time Slip Shima Kousaku Episode 0","ONA","Other",FALSE,2023,"G - All Ages",NA,92,0,"","","DLE","Comedy"
60515,"Bawang Long Lei Qi","TV","Original",FALSE,2023,"PG - Children",NA,76,1,"","","","Adventure, Comedy, Fantasy"
59700,"The Girls","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,75,0,"","","",""
59152,"Deer Squad 3rd Season","ONA","Original",FALSE,2023,"PG - Children",NA,71,0,"","","","Fantasy"
60221,"Elemon","ONA","Original",FALSE,2023,"G - All Ages",NA,71,0,"Nanibito","","Toei Animation","Action, Adventure, Sci-Fi"
60659,"Buzzre! YouTuNya!","Music","Original",FALSE,2023,"G - All Ages",NA,70,0,"","","Lesprit","Comedy"
59739,"Pinkfong Sing-Along Movie 3: Catch the Gingerbread Man","Movie","Original",FALSE,2023,"PG - Children",NA,65,0,"Pinkfong","","",""
61022,"Boku wa Jinrou","Music","Original",FALSE,2023,"R - 17+ (violence & profanity)",NA,63,0,"","","","Action, Supernatural"
59451,"Boonie Squad 2","TV","Original",FALSE,2023,"G - All Ages",NA,60,0,"","","","Adventure, Comedy, Fantasy"
56429,"Symphonia","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,51,0,"","","",""
60709,"Pleasant Goat and Big Big Wolf: Mysterious Ocean Adventure","TV","Original",FALSE,2023,"PG - Children",NA,46,0,"","","","Action, Comedy"
60823,"Nai Long Baoxiao Jianianhua","ONA","Original",FALSE,2023,"PG - Children",NA,40,0,"","","","Adventure, Comedy, Fantasy"
