"title_english","type","source","year","rating","score","members","favorites","studios","genres"
"SHOW BY ROCK!! Mashumairesh!!","TV","Game",2020,"PG-13 - Teens 13 or older",7.04,17155,68,"Kinema Citrus","Comedy, Fantasy"
"On-Gaku: Our Sound","Movie","Manga",2020,"PG-13 - Teens 13 or older",7.6,14461,166,"Rock'n Roll Mountain","Award Winning, Slice of Life"
"Healin' Good Pretty Cure","TV","Original",2020,"G - All Ages",6.92,13102,84,"Toei Animation","Action"
"Breakers","TV","Original",2020,"PG-13 - Teens 13 or older",6.32,10850,8,"Albacrow, l-a-unch・BOX, Studio CANDY BOX, Blaze Studio","Sports"
"Hentatsu (TV)","TV","Original",2020,"G - All Ages",5.09,5978,2,"Yaoyorozu","Adventure, Mystery"
"Rebirth","TV","Card game",2020,"PG-13 - Teens 13 or older",5.83,4591,3,"LIDENFILMS Osaka Studio","Comedy"
"Gundam Reconguista in G II: Bellri's Fierce Charge","Movie","Original",2020,"PG-13 - Teens 13 or older",6.46,3432,4,"Sunrise","Action, Sci-Fi"
"Yo-kai Watch Jam: Yo-kai Academy Y","TV","Game",2020,"PG - Children",6.4,2153,11,"OLM","Comedy, Supernatural"
"Detective Conan: The Burning Galactic Railway","Movie","Manga",2020,"PG-13 - Teens 13 or older",6.86,2065,4,"D & D Pictures","Adventure, Mystery"
"Hulaing Babies Petit","TV","Original",2020,"PG-13 - Teens 13 or older",5.37,1089,0,"Fukushima Gaina","Comedy, Slice of Life"
"Gon, the Little Fox","Movie","Book",2020,"PG - Children",6.69,945,1,"Tecarat","Drama"
"Ooya-san to Boku","TV","Manga",2020,"G - All Ages",5.83,584,0,"Fanworks","Slice of Life"
"Kaguya-sama: Love is War?","TV","Manga",2020,"PG-13 - Teens 13 or older",8.62,1414059,18914,"A-1 Pictures","Comedy, Romance"
"Tower of God","TV","Web manga",2020,"PG-13 - Teens 13 or older",7.56,1015011,6853,"Telecom Animation Film","Action, Adventure, Drama, Fantasy, Mystery"
"Food Wars! The Fifth Plate","TV","Manga",2020,"PG-13 - Teens 13 or older",7.31,559655,1421,"J.C.Staff","Gourmet, Ecchi"
"Fruits Basket 2nd Season","TV","Manga",2020,"PG-13 - Teens 13 or older",8.53,545943,6260,"TMS Entertainment","Drama, Romance, Supernatural"
"Gleipnir","TV","Manga",2020,"R - 17+ (violence & profanity)",6.96,515044,1992,"PINE JAM","Action, Mystery, Ecchi"
"My Next Life as a Villainess: All Routes Lead to Doom!","TV","Light novel",2020,"PG-13 - Teens 13 or older",7.45,482622,3130,"SILVER LINK.","Comedy, Fantasy, Romance"
"The Millionaire Detective – Balance: Unlimited","TV","Novel",2020,"PG-13 - Teens 13 or older",7.51,452486,3006,"CloverWorks","Mystery"
"BNA: Brand New Animal","TV","Original",2020,"PG-13 - Teens 13 or older",7.34,385237,2735,"Trigger","Action, Fantasy"
"Kakushigoto","TV","Manga",2020,"PG-13 - Teens 13 or older",7.97,341222,2128,"Ajia-do","Comedy"
"Sing ""Yesterday"" for Me","TV","Manga",2020,"PG-13 - Teens 13 or older",6.87,322314,1366,"Doga Kobo","Drama, Romance"
"Princess Connect! Re:Dive","TV","Game",2020,"PG-13 - Teens 13 or older",7.04,303230,1066,"CygamesPictures","Adventure, Comedy, Fantasy, Gourmet"
"The 8th Son? Are You Kidding Me?","TV","Light novel",2020,"PG-13 - Teens 13 or older",6.27,258207,512,"SynergySP, Shin-Ei Animation","Action, Fantasy"
"Ascendance of a Bookworm Season 2","TV","Light novel",2020,"PG-13 - Teens 13 or older",8.08,231952,847,"Ajia-do","Fantasy"
"Arte","TV","Manga",2020,"PG-13 - Teens 13 or older",7.2,137375,379,"Seven Arcs","Drama"
"Appare-Ranman!","TV","Original",2020,"PG-13 - Teens 13 or older",7.24,136005,514,"P.A. Works","Comedy"
"Tsugu Tsugumomo","TV","Manga",2020,"R+ - Mild Nudity",7.41,118997,371,"Zero-G","Action, Comedy, Supernatural, Ecchi"
"Kingdom: Season 3","TV","Manga",2020,"R - 17+ (violence & profanity)",8.83,114631,2366,"Pierrot, Studio Signpost","Action"
"Shironeko Project ZERO CHRONICLE","TV","Game",2020,"PG-13 - Teens 13 or older",5.39,105408,212,"Project No.9","Action, Adventure, Fantasy"
"Wave, Listen to Me!","TV","Manga",2020,"R - 17+ (violence & profanity)",7.34,88222,197,"Sunrise","Comedy, Drama"
"Diary of Our Days at the Breakwater","TV","Manga",2020,"PG-13 - Teens 13 or older",7.44,68505,330,"Doga Kobo","Gourmet, Slice of Life"
"Listeners","TV","Original",2020,"PG-13 - Teens 13 or older",5.39,65541,55,"MAPPA","Action, Sci-Fi"
"Digimon Adventure:","TV","Other",2020,"PG - Children",6.48,59104,211,"Toei Animation","Action, Adventure, Comedy, Fantasy"
"Bungo and Alchemist -Gears of Judgement-","TV","Game",2020,"PG-13 - Teens 13 or older",6.52,55934,241,"OLM","Adventure, Fantasy"
"Dropkick on My Devil!! Dash","TV","Web manga",2020,"PG-13 - Teens 13 or older",7.46,53955,124,"Nomad","Comedy, Supernatural"
"Shachibato! President, It's Time for Battle!","TV","Game",2020,"PG-13 - Teens 13 or older",5.85,42649,27,"C2C","Action, Adventure, Fantasy"
"TAMAYOMI: The Baseball Girls","TV","Manga",2020,"PG-13 - Teens 13 or older",5.8,34473,44,"Studio A-CAT","Sports"
"Gal & Dino","TV","Manga",2020,"PG-13 - Teens 13 or older",6.45,34288,92,"Kamikaze Douga, Space Neko Company","Comedy"
"IDOLiSH7 Second BEAT!","TV","Game",2020,"PG-13 - Teens 13 or older",8.14,33700,411,"TROYCA","Drama"
"Woodpecker Detective's Office","TV","Novel",2020,"R - 17+ (violence & profanity)",6.13,28616,53,"LIDENFILMS","Mystery"
"Major 2nd 2nd Season","TV","Manga",2020,"PG-13 - Teens 13 or older",7.47,23174,66,"OLM","Sports"
"Sakura Wars the Animation","TV","Game",2020,"PG-13 - Teens 13 or older",5.82,20299,24,"SANZIGEN","Action, Adventure, Sci-Fi"
"Yu-Gi-Oh! Sevens","TV","Card game",2020,"PG-13 - Teens 13 or older",6.21,18856,89,"Bridge","Action, Fantasy"
"Extra Olympia Kyklos","TV","Manga",2020,"PG-13 - Teens 13 or older",6.97,18766,77,"Gosay Studio","Comedy, Sports"
"Shadowverse","TV","Card game",2020,"PG-13 - Teens 13 or older",5.75,17164,36,"Zexcs","Fantasy"
"Argonavis from BanG Dream!","TV","Mixed media",2020,"PG-13 - Teens 13 or older",6.71,12527,76,"SANZIGEN","Drama"
"Mewkledreamy","TV","Other",2020,"G - All Ages",7,8820,31,"J.C.Staff","Adventure, Fantasy"
"Cardfight!! Vanguard Gaiden: If","TV","Original",2020,"PG-13 - Teens 13 or older",6.48,4690,12,"OLM","Action, Adventure, Comedy"
"Future Folktales","TV","Original",2020,"PG - Children",6.09,4671,7,"Toei Animation","Adventure"
"Bakugan: Armored Alliance","TV","Original",2020,"PG - Children",5.7,4552,6,"TMS Entertainment","Action, Fantasy"
"Kiratto Pri☆chan Season 3","TV","Game",2020,"PG - Children",7.23,3029,11,"Tatsunoko Production","Comedy"
"Tomica Kizuna Gattai: Earth Granner","TV","Other",2020,"PG - Children",5.91,1643,2,"OLM","Action, Adventure, Sci-Fi"
"TV Yarou Nanaana: Kaibutsu Kraken wo Oe!","TV","Original",2020,"PG-13 - Teens 13 or older",6.01,1451,2,"Studio Crocodile","Adventure, Comedy"
"Pretending to forget","Movie","Manga",2020,"G - All Ages",6.18,1309,2,"Calf Studio","Slice of Life"
"Genie Family 2020","TV","Original",2020,"G - All Ages",6,1184,0,"Nippon Animation, Tatsunoko Production","Comedy, Fantasy"
"Motto! Majime ni Fumajime Kaiketsu Zorori","TV","Book",2020,"PG - Children",6.46,1115,2,"Ajia-do, Bandai Namco Pictures","Adventure, Comedy"
"Duel Masters King","TV","Original",2020,"G - All Ages",5.78,1074,1,"Brain's Base, Shogakukan Music & Digital Entertainment","Action, Adventure, Comedy, Fantasy"
"Micchiri Wanko! Animation","TV","Other",2020,"G - All Ages",5.89,911,1,"Charaction","Comedy"
"Catch! Teenieping: Fairies of Emotion","TV","Original",2020,"PG - Children",6.24,591,4,"SAMG Entertainment","Fantasy"
"Re:ZERO -Starting Life in Another World- Season 2","TV","Light novel",2020,"R - 17+ (violence & profanity)",8.33,1188424,12046,"White Fox","Drama, Fantasy, Suspense"
"Rent-a-Girlfriend","TV","Manga",2020,"PG-13 - Teens 13 or older",6.92,1034743,8274,"TMS Entertainment","Comedy, Romance"
"The God of High School","TV","Web manga",2020,"PG-13 - Teens 13 or older",7.07,956826,4223,"MAPPA","Action, Fantasy"
